lon,lat,shortdescription,equipmentno
-73.94193761457447,40.7537392708755,"('Mezzanine to Jamaica-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL407', 'EL406', 'EL405')"
-73.94526400039679,40.7470229988964,"('mezzanine to platform', 'Street to mezzanine', 'Mezzanine to Manhattan-bound 7', 'Mezzanine to Flushing-bound 7')","('EL469', 'EL446', 'EL447', 'EL445X')"
-73.94549500011411,40.80775399918281,"('Mezzanine to uptown platform', 'Mezzanine to downtown platform', 'Street to mezzanine', 'Mezzanine to platforms', 'Street to mezzanine')","('EL144', 'EL143', 'EL142', 'EL126', 'EL125')"
-73.94605470266329,40.74776812141432,"('Street to Manhattan-bound platform',)","('EL482X',)"
-73.9470660219183,40.78423665017765,"('Street to uptown platform', 'Street to downtown platform', 'Street to mezzanine', 'Mezzanine to downtown platform')","('EL146', 'EL145', 'EL248', 'EL247')"
-73.94753480879213,40.81790555921267,"('Street to downtown platform', 'Street to uptown platform')","('EL181', 'EL180')"
-73.94754120734406,40.6328424070074,"('Street to platform',)","('EL319',)"
-73.94945514035334,40.650860687802,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform', 'Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL321', 'EL320', 'EL375', 'EL374', 'EL373')"
-73.9502340010257,40.7003766662215,"('Mezzanine to Manhattan-bound platform', 'Mezzanine to Queens-bound platform', 'Street to mezzanine')","('EL395', 'EL394', 'EL393')"
-73.9510700015425,40.785671999986,"('Street to uptown platform', 'Street to downtown platform', 'Street to mezzanine', 'Mezzanine to downtown platform')","('EL146', 'EL145', 'EL248', 'EL247')"
-73.95177090964917,40.7778610433316,"('Mezzanine to platform', 'Street to mezzanine', 'Street to uptown 6', 'Street to mezzanine', 'Mezzanine to platform')","('EL746', 'EL745', 'EL273', 'EL250', 'EL249')"
-73.95224799734774,40.81107167299456,"('Mezzanine to uptown platform', 'Mezzanine to downtown platform', 'Street to mezzanine', 'Mezzanine to platforms', 'Street to mezzanine')","('EL144', 'EL143', 'EL142', 'EL126', 'EL125')"
-73.95323499978866,40.759171999671,"('Street to Jamaica-bound platform', 'Street to Manhattan-bound platform')","('EL404', 'EL403')"
-73.95442500146235,40.7312669997146,"('Mezzanine to Brooklyn-bound platform', 'Mezzanine to Queens-bound platform', 'Street to mezzanine')","('EL765', 'EL764', 'EL763')"
-73.95558899985132,40.7794919982095,"('Mezzanine to platform', 'Street to mezzanine', 'Street to uptown 6', 'Street to mezzanine', 'Mezzanine to platform')","('EL746', 'EL745', 'EL273', 'EL250', 'EL249')"
-73.95666499806525,40.7171739985889,"('Mezzanine to platform', 'Street to mezzanine')","('EL358', 'EL359')"
-73.95684800014614,40.6813796665874,"('Footbridge to Manhattan-bound C', 'Street to Euclid-bound C & S')","('EL340', 'EL339')"
-73.95760873538083,40.608638645396,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform')","('EL761', 'EL760')"
-73.95783200075729,40.70838300001792,"('Street to Queens-bound platform', 'Street to Manhattan-bound platform')","('EL392', 'EL391')"
-73.9580997367769,40.6707651534489,"('Footbridge to Manhattan-bound C', 'Street to Euclid-bound C & S')","('EL340', 'EL339')"
-73.95836178682246,40.7688025101489,"('Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Street to mezzanine', 'Mezzanine to platform', 'Street to downtown platform', 'Street to uptown platform')","('EL267', 'EL266', 'EL265', 'EL264', 'EL262', 'EL259', 'EL240', 'EL239')"
-73.95837200097044,40.81558099997893,"('Mezzanine to uptown platform', 'Mezzanine to downtown platform', 'Street to mezzanine', 'Mezzanine to platforms', 'Street to mezzanine')","('EL144', 'EL143', 'EL142', 'EL126', 'EL125')"
-73.96288246192114,40.6504932464648,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform', 'Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL321', 'EL320', 'EL375', 'EL374', 'EL373')"
-73.96422203748425,40.6720322354592,"('Mezzanine to Brooklyn-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL757', 'EL756', 'EL755')"
